Namespace(batch_size=128, cat_dims=None, cat_idx=None, config='config/mercedes_benz.yml', data_parallel=False, dataset='Mercedes Benz', direction='minimize', dropna_idx=[0], early_stopping_rounds=20, epochs=1000, gpu_ids=[0, 1], logging_period=100, miss_cat_idx=None, miss_num_idx=None, model_name='VIME', n_trials=100, nominal_idx=[1, 2, 3, 4, 5, 6, 7, 8], num_classes=1, num_features=377, num_splits=5, objective='regression', one_hot_encode=True, optimize_hyperparameters=True, ordinal_encode=False, ordinal_idx=None, scale=True, seed=221, shuffle=True, target_encode=False, use_gpu=True, val_batch_size=256)
Start hyperparameter optimization
Loading dataset Mercedes Benz...
Dataset loaded!
(4209, 376)
Scaling the data...
args.num_features: 563
New Shape: (4209, 563)
A new study created in RDB with name: VIME_Mercedes Benz
In get_device
On Device: cuda
In get_device
On Device: cuda
Fitted encoder
Epoch 0, Val Loss: 1152.83936
Epoch 1, Val Loss: 403.98361
Epoch 2, Val Loss: 210.62032
Epoch 3, Val Loss: 184.38939
Epoch 4, Val Loss: 164.75468
Epoch 5, Val Loss: 160.91037
Epoch 6, Val Loss: 127.01529
Epoch 7, Val Loss: 140.23409
Epoch 8, Val Loss: 117.24069
Epoch 9, Val Loss: 136.90408
Epoch 10, Val Loss: 120.16528
Epoch 11, Val Loss: 110.70141
Epoch 12, Val Loss: 109.64238
Epoch 13, Val Loss: 122.20679
Epoch 14, Val Loss: 119.74240
Epoch 15, Val Loss: 110.75421
Epoch 16, Val Loss: 101.82524
Epoch 17, Val Loss: 110.84932
Epoch 18, Val Loss: 101.33607
Epoch 19, Val Loss: 101.09187
Epoch 20, Val Loss: 111.58913
Epoch 21, Val Loss: 101.78662
Epoch 22, Val Loss: 96.40684
Epoch 23, Val Loss: 96.57884
Epoch 24, Val Loss: 100.69678
Epoch 25, Val Loss: 91.15732
Epoch 26, Val Loss: 91.86406
Epoch 27, Val Loss: 98.60854
Epoch 28, Val Loss: 91.63329
Epoch 29, Val Loss: 90.42508
Epoch 30, Val Loss: 87.58463
Epoch 31, Val Loss: 94.21222
Epoch 32, Val Loss: 87.22573
Epoch 33, Val Loss: 85.53847
Epoch 34, Val Loss: 90.86461
Epoch 35, Val Loss: 85.75642
Epoch 36, Val Loss: 87.31467
Epoch 37, Val Loss: 82.85403
Epoch 38, Val Loss: 86.96159
Epoch 39, Val Loss: 88.14565
Epoch 40, Val Loss: 86.87541
Epoch 41, Val Loss: 88.40956
Epoch 42, Val Loss: 84.76750
Epoch 43, Val Loss: 81.07208
Epoch 44, Val Loss: 91.17990
Epoch 45, Val Loss: 84.34351
Epoch 46, Val Loss: 83.36773
Epoch 47, Val Loss: 85.82527
Epoch 48, Val Loss: 92.52306
Epoch 49, Val Loss: 81.60519
Epoch 50, Val Loss: 86.44349
Epoch 51, Val Loss: 86.04321
Epoch 52, Val Loss: 84.79164
Epoch 53, Val Loss: 89.74450
Epoch 54, Val Loss: 85.97913
Epoch 55, Val Loss: 82.05347
Epoch 56, Val Loss: 88.56511
Epoch 57, Val Loss: 83.96587
Epoch 58, Val Loss: 87.84591
Epoch 59, Val Loss: 92.92219
Epoch 60, Val Loss: 87.52318
Epoch 61, Val Loss: 86.21796
Epoch 62, Val Loss: 86.88120
Epoch 63, Val Loss: 87.66638
Epoch 64, Val Loss: 84.57140
Early stopping applies.
{'MSE - mean': 84.76473021440493, 'MSE - std': 0.0, 'R2 - mean': 0.5060477186838355, 'R2 - std': 0.0}
In get_device
On Device: cuda
Fitted encoder
Epoch 0, Val Loss: 433.55615
Epoch 1, Val Loss: 335.15610
Epoch 2, Val Loss: 233.57230
Epoch 3, Val Loss: 169.48360
Epoch 4, Val Loss: 153.94171
Epoch 5, Val Loss: 153.14516
Epoch 6, Val Loss: 133.77365
Epoch 7, Val Loss: 124.41466
Epoch 8, Val Loss: 119.03757
Epoch 9, Val Loss: 117.18311
Epoch 10, Val Loss: 91.24255
Epoch 11, Val Loss: 96.12061
Epoch 12, Val Loss: 101.73512
Epoch 13, Val Loss: 100.90714
Epoch 14, Val Loss: 91.10896
Epoch 15, Val Loss: 98.81584
Epoch 16, Val Loss: 79.01558
Epoch 17, Val Loss: 87.06342
Epoch 18, Val Loss: 87.34490
Epoch 19, Val Loss: 81.76283
Epoch 20, Val Loss: 75.72468
Epoch 21, Val Loss: 76.97249
Epoch 22, Val Loss: 84.34988
Epoch 23, Val Loss: 81.48459
Epoch 24, Val Loss: 77.86656
Epoch 25, Val Loss: 84.77470
Epoch 26, Val Loss: 79.73209
Epoch 27, Val Loss: 79.77396
Epoch 28, Val Loss: 77.95752
Epoch 29, Val Loss: 88.23851
Epoch 30, Val Loss: 77.55090
Epoch 31, Val Loss: 80.74043
